104,3764.4,-2.88219,4560.82
6,4322.32,-2.72545,4614.42
Master Down,1109.67,-2.27423,6188.11
Slave Down,903.717,-1.21951,6569.96
REFMark U,3607.59,-0.0395202,5498.28
9,3526.79,-0.031204,5285.32
REFMark T,3581.98,-0.0693508,-599.286
Slave UP1,897.4,-1.24189,-525.736
Master UP,1110.31,-2.26909,-491.067
103,1819.27,-1.84868,-229.698
101,1997.7,-2.06754,-8128.8
1,3495.58,-0.0549259,-6511.67
102,3831.56,-0.478863,-6544.21
4,1726.32,-1.69802,143.589
